abd,C_ach,C_akw,C_ata,C_kma,C_oro,C_pad,C_paj,C_pal,age,fthr_ed,mthr_ed,orphan96,hh_fthr_frm,hh_size96,educ,distress,log.wage
0,0,1,0,0,0,0,0,0,20,10,10,0,1,8,12,4,8.006700845
1,0,1,0,0,0,0,0,0,15,7,4,0,1,9,7,4.333333492,0
1,0,1,0,0,0,0,0,0,30,4,0,1,0,10,6,4,8.517393171
1,0,1,0,0,0,0,0,0,18,10,0,0,1,11,10,2,4.122515457
1,0,1,0,0,0,0,0,0,15,4,0,0,1,6,7,3.666666746,3.99951049
1,0,1,0,0,0,0,0,0,18,10,7,0,1,6,9,6.666666508,7.601402335
1,0,1,0,0,0,0,0,0,19,10,0,0,0,19,10,4,6.277113304
1,0,1,0,0,0,0,0,0,17,4,0,1,1,14,7,8.666666985,4.968820774
1,0,1,0,0,0,0,0,0,25,4,0,0,1,9,3,2.666666746,0
1,0,1,0,0,0,0,0,0,16,7,4,0,1,10,9,4.666666508,4.282600885
1,0,1,0,0,0,0,0,0,15,10,7,0,0,17,8,3,0
1,0,1,0,0,0,0,0,0,16,0,0,0,1,9,7,8,5.525452939
0,0,1,0,0,0,0,0,0,14,7,7,0,1,7,6,3,5.880931937
1,0,1,0,0,0,0,0,0,24,7,7,0,1,9,5,7.666666508,6.646690176
0,0,1,0,0,0,0,0,0,19,10,4,0,1,9,8,4,6.062788064
1,0,1,0,0,0,0,0,0,20,15,0,0,1,9,10,2.666666746,0
1,0,1,0,0,0,0,0,0,25,0,0,0,1,10,4,6.333333492,5.303304908
0,0,1,0,0,0,0,0,0,19,15,7,0,1,12,12,5,0
1,0,1,0,0,0,0,0,0,30,4,0,1,1,9,2,7.333333492,6.011617242
0,0,1,0,0,0,0,0,0,19,0,4,0,1,3,11,1.333333373,8.006700845
1,0,1,0,0,0,0,0,0,17,0,0,0,1,12,2,5,5.898900563
0,0,1,0,0,0,0,0,0,25,4,0,0,0,17,6,4.666666508,7.37268924
1,0,1,0,0,0,0,0,0,15,4,4,0,1,4,10,4.333333492,0
1,0,1,0,0,0,0,0,0,14,4,0,0,1,9,6,1.333333373,0
1,0,1,0,0,0,0,0,0,29,7,4,1,1,3,7,2.333333254,6.552507887
1,0,1,0,0,0,0,0,0,30,4,4,0,1,5,4,1.666666627,7.184766947
1,0,1,0,0,0,0,0,0,22,12,0,0,1,18,7,6.666666508,6.180312371
1,0,1,0,0,0,0,0,0,22,10,0,0,1,27,5,5.666666508,7.692330602
1,0,0,0,1,0,0,0,0,26,4,4,0,1,7,6,3,7.159847142
0,0,0,0,1,0,0,0,0,18,0,0,0,1,8,7,2.666666746,6.995682872
1,0,0,0,1,0,0,0,0,26,0,0,0,1,8,8,2.666666746,7.353081921
1,0,0,0,1,0,0,0,0,21,4,0,0,1,7,13,3,0
0,0,0,0,0,1,0,0,0,24,0,0,0,1,12,9,2,9.210440367
0,0,0,0,0,1,0,0,0,21,4,4,0,1,12,6,0.666666687,8.922791624
0,0,0,0,0,1,0,0,0,25,0,0,0,1,17,2,4.333333492,6.795545938
1,0,0,0,0,1,0,0,0,30,4,0,0,1,12,7,2,4.683453135
0,0,0,0,0,1,0,0,0,17,0,0,0,1,12,7,3,0
0,0,0,0,0,1,0,0,0,24,4,7,0,1,4,5,0.666666687,5.880931937
0,0,0,0,0,1,0,0,0,26,4,4,0,1,4,4,0.666666687,9.615872145
0,0,0,0,0,1,0,0,0,16,10,0,0,1,6,6,2.666666746,7.090909822
0,0,0,0,0,1,0,0,0,17,10,0,0,1,10,7,6,0
1,0,0,0,0,1,0,0,0,14,10,0,0,1,6,3,8.333333015,0
0,0,0,0,0,1,0,0,0,25,4,12,0,1,10,10,2.333333254,8.294299609
0,0,0,0,0,1,0,0,0,22,4,0,0,1,10,9,0.666666687,6.977681065
1,0,0,0,0,1,0,0,0,19,4,0,0,1,10,8,2.333333254,0
1,0,0,0,0,1,0,0,0,19,0,0,0,1,11,10,3.333333254,5.687374074
0,0,0,0,0,1,0,0,0,15,12,0,0,1,6,5,4.666666508,3.931825633
0,0,0,0,0,1,0,0,0,16,4,4,0,1,8,7,2,0
0,0,0,0,0,1,0,0,0,14,7,4,0,1,6,5,4,0
0,0,0,0,0,1,0,0,0,15,4,4,0,1,7,7,1.666666627,0
0,0,0,0,0,1,0,0,0,25,4,0,0,1,10,4,5,6.726632978
1,0,0,0,0,1,0,0,0,15,7,4,0,1,13,4,5.666666508,0
1,0,0,0,0,1,0,0,0,17,10,0,0,1,8,6,1,6.062788064
0,0,0,0,0,1,0,0,0,18,7,0,0,1,9,7,1.666666627,5.81213853
1,0,0,0,0,1,0,0,0,19,7,0,0,1,9,7,6.333333492,0
1,0,1,0,0,0,0,0,0,27,7,4,0,1,13,14,3.666666746,8.77971129
1,0,1,0,0,0,0,0,0,14,4,4,0,1,13,6,6,6.503789077
1,0,1,0,0,0,0,0,0,25,10,0,0,1,12,13,3.666666746,0
1,0,1,0,0,0,0,0,0,20,0,7,1,1,20,5,1,8.805025228
1,1,0,0,0,0,0,0,0,20,4,0,0,1,9,6,5.333333492,0
1,1,0,0,0,0,0,0,0,15,4,0,0,1,7,6,3.666666746,0
1,1,0,0,0,0,0,0,0,20,7,0,0,1,5,6,5.333333492,0
1,1,0,0,0,0,0,0,0,30,0,0,1,1,8,12,0.666666687,6.285465913
0,0,0,0,0,0,1,0,0,21,10,4,0,1,15,6,4.666666508,7.360376575
0,0,0,0,0,0,1,0,0,23,4,0,0,1,15,12,3.666666746,0
1,0,0,0,0,0,1,0,0,18,4,4,0,1,11,8,2.666666746,0
0,0,0,0,0,0,1,0,0,21,4,0,0,1,9,7,5.666666508,7.343720229
1,0,0,0,0,0,1,0,0,26,0,0,0,1,4,6,2.333333254,7.824445931
1,0,0,0,0,0,1,0,0,30,4,0,0,0,2,6,1.333333373,8.853808275
1,0,0,0,0,0,1,0,0,26,10,7,0,0,10,7,4,7.70671285
0,0,0,0,0,0,1,0,0,26,10,0,0,1,8,8,2,0
1,0,0,0,0,0,1,0,0,30,4,0,0,1,6,7,1,7.265129966
1,0,0,0,0,0,1,0,0,18,4,0,0,1,6,2,5.666666508,0
0,0,0,0,0,0,1,0,0,23,7,0,0,0,4,3,2,6.646690176
1,0,0,0,0,0,1,0,0,14,10,0,0,1,4,11,2.333333254,5.303304908
1,1,0,0,0,0,0,0,0,15,4,4,0,1,6,8,6.333333492,7.026426809
1,1,0,0,0,0,0,0,0,30,0,0,0,1,14,3,0,7.360376575
1,1,0,0,0,0,0,0,0,30,0,0,0,1,7,7,13.33333302,0
1,0,0,0,0,0,0,0,1,30,7,0,0,1,8,2,3.666666746,6.621405652
0,0,0,0,0,0,0,0,1,18,0,0,0,1,3,10,1.333333373,0
1,0,0,0,0,0,0,0,1,14,12,4,0,1,3,7,3,7.170888479
1,0,0,0,0,0,0,0,1,30,0,4,0,1,5,13,3.666666746,9.43356392
1,0,0,0,0,0,0,0,1,20,7,0,0,1,9,11,2.666666746,7.488133588
1,0,0,0,0,0,0,0,1,20,10,0,0,1,4,4,8.666666985,6.216606101
1,0,0,0,0,0,0,0,1,27,4,0,1,1,10,11,0.666666687,0
1,0,0,0,0,0,0,0,1,29,0,0,0,1,8,4,0.666666687,8.294299609
1,0,0,0,0,0,1,0,0,25,4,0,0,1,14,8,3.333333254,6.467476833
1,0,0,0,0,0,1,0,0,20,4,4,0,1,7,7,6.333333492,5.880931937
1,0,0,0,0,0,0,0,1,18,7,0,0,1,4,5,1,0
1,0,0,0,0,0,0,0,1,15,0,0,0,1,4,6,5,0
1,0,0,0,0,0,0,0,1,24,4,0,0,1,2,9,5,7.50792528
1,0,0,0,0,0,0,0,1,15,0,0,0,1,6,7,8.666666985,7.0627627
1,0,0,0,0,0,0,0,1,17,0,4,1,1,6,8,5,0
1,0,0,0,0,0,0,0,1,20,0,0,0,1,7,9,2.333333254,0
1,0,0,0,0,0,0,0,1,14,12,0,0,1,4,6,3,0
1,0,0,0,0,0,0,0,1,18,10,0,0,0,6,7,4,0
1,0,0,0,0,0,1,0,0,23,4,0,0,0,15,11,0.333333343,9.570412848
1,0,0,0,0,0,1,0,0,16,0,4,0,0,15,5,7,0
1,0,0,0,0,0,1,0,0,18,0,0,0,1,6,10,1.666666627,0
1,0,0,0,0,0,1,0,0,18,4,0,0,1,5,8,3.666666746,0
1,0,0,0,0,0,1,0,0,17,7,4,0,1,6,4,6.666666508,6.726632978
1,0,0,0,0,0,1,0,0,20,7,0,0,1,5,3,1.333333373,0
1,0,0,0,0,0,1,0,0,15,4,0,0,0,4,5,1.333333373,0
1,0,0,0,0,0,1,0,0,15,12,0,0,1,8,7,3.666666746,0
1,0,0,0,0,0,1,0,0,25,10,0,0,1,4,6,6,7.601402335
1,0,0,0,0,0,1,0,0,25,7,4,0,1,5,3,2.333333254,8.517393171
1,0,0,0,0,0,1,0,0,19,7,0,0,0,15,7,6,0
1,0,0,0,0,0,1,0,0,30,0,0,0,1,2,0,3,6.908754779
0,0,0,0,1,0,0,0,0,17,4,0,0,1,10,10,3,7.544273332
1,0,0,0,1,0,0,0,0,25,4,0,0,1,10,7,1.333333373,8.006700845
0,0,0,0,1,0,0,0,0,30,15,7,0,0,10,10,3.333333254,0
1,0,0,0,1,0,0,0,0,14,4,4,0,1,9,5,2.666666746,5.121977912
1,0,1,0,0,0,0,0,0,29,7,4,0,1,20,5,9.666666985,9.680406499
1,0,0,0,0,0,1,0,0,18,4,0,0,1,6,6,1,0
1,0,0,0,0,0,1,0,0,16,4,4,0,1,6,5,8.666666985,0
1,1,0,0,0,0,0,0,0,15,4,0,0,1,9,5,5.666666508,0
0,1,0,0,0,0,0,0,0,29,4,0,0,1,9,6,2.333333254,0
0,1,0,0,0,0,0,0,0,30,0,0,0,1,5,3,1.333333373,7.265129966
1,1,0,0,0,0,0,0,0,28,0,0,0,1,2,7,3.666666746,6.803505258
1,1,0,0,0,0,0,0,0,25,10,4,0,0,11,7,2,6.521462322
1,1,0,0,0,0,0,0,0,19,4,0,0,1,10,12,3.666666746,0
1,1,0,0,0,0,0,0,0,21,7,7,0,1,10,6,1,8.922791624
1,1,0,0,0,0,0,0,0,29,4,0,0,1,12,5,0,6.484400293
0,1,0,0,0,0,0,0,0,14,4,0,0,1,7,5,3,5.303304908
1,1,0,0,0,0,0,0,0,14,10,0,0,0,7,6,0,0
1,1,0,0,0,0,0,0,0,25,7,4,0,1,9,2,7,7.33918799
1,1,0,0,0,0,0,0,0,20,4,0,0,1,8,13,4,0
